Razón social,Sector / Rubro principal,Descripción del producto o servicio exportable,NCM original (cargado),NCM propuesto (validado),Confianza,Nota de clasificación / fuente,NCM validado
Agroforestal LD SRL,Maderas / Woods,Carbón vegetal,4402.90.00.290Q,44029000,Alta,"Carbón vegetal. Coincide con NCM 4402.90.00 (Cap.44, confirmado en normativa AFIP/CDA). Sufijo SIM .290Q ya cargado por la empresa; verificar vigencia con despachante.",
Alejandra Gubinelli Arte en Vidrio,Muebles y Home Deco / Furniture and Deco,Bachas de vidrio para baño / Objetos de vidrio para decoración,,7020.00.90 ,Baja,"El código propio de la empresa (7006.00) corresponde a vidrio plano trabajado (curvado/biselado), no a artículos terminados como bachas u objetos de decoración. Los productos terminados de vidrio suelen ir en 7020.00 'las demás manufacturas de vidrio'. Requiere confirmación con despachante según proceso de fabricación.",7006.00: Bachas de vidrio para baño 7020.00: Objetos de vidrio para decoración
Alesio Roberto Nardelli,Forestal y Madera,Carbón Vegetal,4402.90.00,4402.90.00,Alta,Carbón vegetal. Coincide con la posición confirmada para el rubro (Cap.44).,
Apicola Don Remigio de Daniel Codutti,Alimentos y Bebidas / Food and Beverages,0409.00: Miel natural / Natural honey,,0409.00.00,Alta,"Miel natural. Posición única para miel (Res. 874/97, RG AFIP 3760/2015).",
Aquino Pasotti Consultora,Servicios Basados en el Conocimiento,"Arquitectura, urbanismo, ingeniería, diseño, interiorismo, comunicación, tasaciones y desarrollo inmobiliario",,Sin NCM — servicio,N/A,"Servicios de arquitectura/consultoría no llevan NCM (aplica solo a mercaderías). Para exportación de servicios se usa el Nomenclador de Servicios (balanza de pagos / AFIP), no la NCM.",
Argecosol SRL,Maderas / Woods,2701.20: Briquetas de carbón 4402.90: Carbón vegetal 4403.99: Madera en bruto,"4402,90,00",2701.20.00* / 4402.90.00 / 4403.99.00,Media,"Se detectó posible error de clasificación: 'briquetas de carbón' declaradas en col. original como NCM con formato de comas (4402,90,00) sin separar los 3 productos de la descripción. Si las briquetas son de carbón VEGETAL (no mineral), corresponden a 4402.90.00 (partida 44.02 incluye carbón vegetal 'incluso aglomerado'), NO a 2701.20 (que es para hulla/carbón mineral). Madera en bruto: 4403.99.00 'los demás', a confirmar especie. Revisar con despachante cuál es el material real de las briquetas.",
Argenmieles / Mieles del Chaco,Alimentos y Bebidas / Food and Beverages,"0409.00: Miel natural / Natural honey. Miel natural orgánica, a granel y envasada.",409,0409.00.00,Alta,El valor cargado ('409') está incompleto/mal formateado; posición correcta y única para miel natural es 0409.00.00.,
Asociacion Argentina de Brangus,Ganadería y Genética,"Genetica Bovina, Reproductores en pie, semen congelado o Embriones.",55555555,0102.21.00 / 0511.10.00 / 0511.99.90,Alta,"El valor original ('55555555') es un dato inválido/placeholder, no una posición arancelaria real — confirma la mezcla de datos que mencionás. Se proponen 3 códigos según los 3 productos de la descripción: Reproductores en pie = 0102.21.00 (bovinos vivos, raza pura); Semen congelado = 0511.10.00; Embriones = 0511.99.90 ('los demás' de la partida 05.11, incluye embriones según nota explicativa de Aduana).",
Barbara Perez Salerno,Alimentos y Bebidas,Chipá congelado sin gluten (5 variedades y 2 formatos) - Tostados de chipá congelado sin gluten,,1905.90.90,Media,Chipá congelado sin gluten: producto de panadería no especificado en otra parte. No tenía NCM cargado. Confirmar con despachante si corresponde 1905.90.90 (producto horneado terminado) según el proceso exacto.,
Bioenenrgy S. a.,Químicos / Chemicals,"8401.10: Metil ester de ácido graso
8419.19: Calentador de aceite al vacío
8419.31: Secador de aceite al vacío
8479.20: Reactor de biodiesel",847998999900H,3826.00.00 / 8419.89.99 / 8419.89.99 / 8479.89.99,Baja,"El valor original ('847998999900H') mezclaba en un solo campo 4 productos distintos con formato inválido (12 dígitos). Correcciones clave: el METIL ÉSTER DE ÁCIDO GRASO ES el biodiesel en sí — NO es maquinaria del capítulo 84, sino un producto químico: NCM 3826.00.00 (confirmado por Decretos 1339/2012, 486/2018 y normativa CDA). El código original 8401.10 corresponde a REACTORES NUCLEARES, totalmente ajeno al producto. Para el calentador y secador de aceite al vacío, al no ser para productos agrícolas, corresponderían a 8419.89 ('los demás' aparatos de tratamiento por cambio de temperatura) en lugar de 8419.31 (que es específico para secadores agrícolas). El reactor de biodiesel es un equipo de función propia, tentativamente 8479.89, pero esto requiere ficha técnica del equipo — clasificación de bienes de capital SIEMPRE debe confirmarse con despachante de aduana matriculado.",
