company_name,trade_name,tax_id,contact_name,contact_email,phone,description,sector,sub_sector,city,address,website,facebook,instagram,linkedin,logo_url,export_destinations,certifications,is_published,product_name,product_description,tariff_position
Agroforestal LD SRL,Agroforestal LD S.R.L.,30707563059,Marcelo López Díaz,agroforestalld@hotmail.com,+54 9 364 4450190,"Marca comercial: Agroforestal LD S.R.L..
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: CAMARA COMERCIO- CAMARA EXP CARBON VEGETAL DEL CHACO-.
Rubro: Maderas / Woods.",Maderas,Woods,Pampa del Infierno,"Quinta 31 B° Sur S/N, CP 3708, Pampa del Infierno, Chaco",,,,,,Chile y EEUU | Interés: Australia,OPERADOR ECONOMICO AUTORIZADO- CALIFICADO POR OMA- ORG MUNDIAL DE ADUANAS,true,Carbón vegetal/ Wood charcoal,Carbón vegetal/ Wood charcoal,4402.90
Alejandra Gubinelli Arte en Vidrio,Alejandra Gubinelli,27213481725,Alejandra Gubinelli,alejandragubinelli@gmail.com,+54 9 379 4532833,"Marca comercial: Alejandra Gubinelli.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: Fundación Adapthes.
Rubro: Muebles y Home Deco / Furniture and Deco.",Muebles y Home Deco,Furniture and Deco,P. R. Sáenz Peña,"San Martín 1150, CP 3700, P. R. Sáenz Peña, Chaco",,,https://www.instagram.com/alejandragubinelliarteenvidrio/,,,,No,true,Bachas de vidrio para baño,Bachas de vidrio para baño,7006.00
Alejandra Gubinelli Arte en Vidrio,Alejandra Gubinelli,27213481725,Alejandra Gubinelli,alejandragubinelli@gmail.com,+54 9 379 4532833,"Marca comercial: Alejandra Gubinelli.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: Fundación Adapthes.
Rubro: Muebles y Home Deco / Furniture and Deco.",Muebles y Home Deco,Furniture and Deco,P. R. Sáenz Peña,"San Martín 1150, CP 3700, P. R. Sáenz Peña, Chaco",,,https://www.instagram.com/alejandragubinelliarteenvidrio/,,,,No,true,Objetos de vidrio para decoración,Objetos de vidrio para decoración,7020.00
Alesio Roberto Nardelli,Alesio Roberto Nardelli,20170938497,Eliana Nardelli,roberto_nardelli@hotmail.com,+54 9 3644 731800,"Experiencia exportadora: Exportador frecuente (exporta regularmente).
Rubro: Forestal y Madera.",Forestal y Madera,,Tres Isletas,"Av Pte Peron N 515, CP 3703, Tres Isletas, Chaco",https://exportadoranardelli.com,,,,,"Chile, EEUU, España, Países Bajos, Canada, Noruega, Nueva Selanda, Finlandia, Malta, Reino Unido | Interés: La India, China, Arabia Saudita, Catar",,true,Carbón Vegetal,Carbón Vegetal,4402.90.00
Apicola Don Remigio de Daniel Codutti,Apícola Don Remigio,20200931492,Daniel Hugo Codutti,apicoladonremigio@gmail.com,+54 9 3725 641804,"Marca comercial: Apícola Don Remigio.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: MAPO.
Rubro: Alimentos y Bebidas / Food and Beverages.",Alimentos y Bebidas,Food and Beverages,Margarita Belén,"José Luis Mendez, CP 3505, Margarita Belén, Chaco",https://www.apicoladonremigio.com.ar,,,,,,Organico,true,Miel natural / Natural honey,Miel natural / Natural honey,0409.00
Aquino Pasotti Consultora,DHA Arquitectura,20229059190,Daniel Huberto Aquino,info@aquinopasotti.com,+54 9 362 4629733,"Marca comercial: DHA Arquitectura.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: Colegio Profesional de Arquitectura y Urbanismo del Chaco.
Rubro: Servicios Basados en el Conocimiento.",Servicios Basados en el Conocimiento,,Resistencia,"San Lorenzo 386, CP 3500, Resistencia, Chaco",https://aquinopasotti.com/,,,,,,"IRAM, LEED",true,"Arquitectura, urbanismo, ingeniería, diseño, interiorismo, comunicación, tasaciones y desarrollo inmobiliario","Arquitectura, urbanismo, ingeniería, diseño, interiorismo, comunicación, tasaciones y desarrollo inmobiliario",
Argecosol SRL,Argecosol,30709599980,Pablo Ibáñez,argecosolpablo@gmail.com,+54 9 3731 408445,"Marca comercial: Argecosol.
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: Cámara de Exportadores de Carbón Vegetal del Chaco.
Rubro: Maderas / Woods.",Maderas,Woods,Corzuela,"9 de julio 0135, CP 3718, Corzuela, Chaco",https://www.argecosolsrl.com.ar,https://www.facebook.com/ventasargecosol/,,,,"Chile,España,Portugal,Israel | Interés: USA",No,true,Briquetas de carbón,Briquetas de carbón,2701.20
Argecosol SRL,Argecosol,30709599980,Pablo Ibáñez,argecosolpablo@gmail.com,+54 9 3731 408445,"Marca comercial: Argecosol.
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: Cámara de Exportadores de Carbón Vegetal del Chaco.
Rubro: Maderas / Woods.",Maderas,Woods,Corzuela,"9 de julio 0135, CP 3718, Corzuela, Chaco",https://www.argecosolsrl.com.ar,https://www.facebook.com/ventasargecosol/,,,,"Chile,España,Portugal,Israel | Interés: USA",No,true,Carbón vegetal,Carbón vegetal,4402.90
Argecosol SRL,Argecosol,30709599980,Pablo Ibáñez,argecosolpablo@gmail.com,+54 9 3731 408445,"Marca comercial: Argecosol.
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: Cámara de Exportadores de Carbón Vegetal del Chaco.
Rubro: Maderas / Woods.",Maderas,Woods,Corzuela,"9 de julio 0135, CP 3718, Corzuela, Chaco",https://www.argecosolsrl.com.ar,https://www.facebook.com/ventasargecosol/,,,,"Chile,España,Portugal,Israel | Interés: USA",No,true,Madera en bruto,Madera en bruto,4403.99
Argenmieles / Mieles del Chaco,Mieles del Chaco,30660920451,Lucas Andersen,export@gsb.com.ar,+54 9 11 26502589,"Marca comercial: Mieles del Chaco.
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: CERA - CAFRAM.
Rubro: Alimentos y Bebidas / Food and Beverages.",Alimentos y Bebidas,Food and Beverages,P. R. Sáenz Peña,"Ruta Nacional 16. a 161 km de Resistencia (Parque Industrial P. R. Sáenz Peña), CP 3700, P. R. Sáenz Peña, Chaco",https://www.argenmieles.com.ar,https://www.facebook.com/MielesdelChaco/,,,,"USA - Unión Europea - Japón - Marruecos - Arabia Saudita - Israel | Interés: Emiratos Árabes, Malasia, Indonesia","FSSC 22000, BRC, SENASA, Orgánico, Kosher, Halal, True Source",true,"Miel natural / Natural honey. Miel natural orgánica, a granel y envasada.","Miel natural / Natural honey. Miel natural orgánica, a granel y envasada.",0409.00
Argenmieles / Mieles del Chaco,Mieles del Chaco,30660920451,Lucas Andersen,export@gsb.com.ar,+54 9 11 26502589,"Marca comercial: Mieles del Chaco.
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: CERA - CAFRAM.
Rubro: Alimentos y Bebidas / Food and Beverages.",Alimentos y Bebidas,Food and Beverages,P. R. Sáenz Peña,"Ruta Nacional 16. a 161 km de Resistencia (Parque Industrial P. R. Sáenz Peña), CP 3700, P. R. Sáenz Peña, Chaco",https://www.argenmieles.com.ar,https://www.facebook.com/MielesdelChaco/,,,,"USA - Unión Europea - Japón - Marruecos - Arabia Saudita - Israel | Interés: Emiratos Árabes, Malasia, Indonesia","FSSC 22000, BRC, SENASA, Orgánico, Kosher, Halal, True Source",true,"Miel fraccionada y en tambores, tanto convencional como orgánica. Certificada bajo norma FSSC 22000.","Miel fraccionada y en tambores, tanto convencional como orgánica. Certificada bajo norma FSSC 22000.",0409.00.00
Ariel Eduardo Ivars Torres,Frigorifico Ivars,20239622470,Ariel Eduardo Ivars Torres,arieleivars@gmail.com,+54 9 362 439 7062,"Marca comercial: Frigorifico Ivars.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Alimentos y Bebidas.",Alimentos y Bebidas,,Margarita Belén,"Jose Luis Mendez 340, CP 3505, Margarita Belén, Chaco",,https://www.facebook.com/frigorificoivars/,https://www.instagram.com/frigorifico_ivars/,,,,,true,Pescados de Mar y Rio,Pescados de Mar y Rio,0303.89.00
